design,F1,F2,y
3,1,3,4.615393162
3,1,3,5.766007675
3,1,3,7.05119353
3,1,3,5.239518822
3,1,3,4.019137938
3,1,3,5.427823904
3,1,3,6.730908515
3,1,3,3.527723499
3,1,3,4.566480819
3,1,3,4.800769461
3,1,3,5.774503356
3,1,3,4.290728277
3,1,3,3.806146924
3,1,3,5.204362142
3,1,3,5.92701048
3,1,3,6.612069131
3,1,3,5.991903381
3,1,3,5.50073419
3,1,3,5.472117296
3,1,3,4.94897839
3,1,3,4.853128565
3,1,3,6.427363943
3,1,3,5.418033277
3,1,3,4.757820739
3,1,3,6.35673452
3,1,3,5.931081341
3,1,3,4.037115603
3,1,3,5.11026009
3,1,3,5.14108268
3,1,3,5.181292562
3,1,3,5.375905738
3,1,3,4.993262807
3,1,3,4.276387173
3,1,3,5.8211113
4,2,1,5.765565208
4,2,1,4.630241634
4,2,1,3.137235545
4,2,1,5.620136959
4,2,1,4.401049698
4,2,1,4.740210513
4,2,1,5.173684406
4,2,1,5.639934554
4,2,1,4.594910379
4,2,1,5.343861081
4,2,1,5.016021948
4,2,1,4.122420427
4,2,1,5.223055908
4,2,1,4.876575707
4,2,1,4.643744492
4,2,1,4.439295218
4,2,1,4.694264997
4,2,1,4.162463159
4,2,1,3.797911403
4,2,1,2.541833838
4,2,1,5.214102691
4,2,1,3.206514972
4,2,1,5.709972577
4,2,1,5.952057637
4,2,1,4.696022664
4,2,1,5.744883377
4,2,1,2.984711511
4,2,1,4.74231148
4,2,1,5.292982149
4,2,1,5.487617662
4,2,1,4.493708745
4,2,1,4.763842012
4,2,1,5.350565119
4,2,1,4.338883124
4,2,1,3.773107456
4,2,1,5.784613197
4,2,1,5.29013979
4,2,1,5.122240817
4,2,1,3.634909966
4,2,1,5.840935753
4,2,1,5.664235199
4,2,1,4.1158351
4,2,1,5.016326639
4,2,1,4.809649748
4,2,1,5.564324452
4,2,1,4.746160419
4,2,1,3.697245983
4,2,1,5.089631471
4,2,1,5.634079885
4,2,1,3.009878797
5,2,2,7.30915852
5,2,2,6.582653286
5,2,2,7.0961646
5,2,2,5.895607281
5,2,2,4.145399675
5,2,2,5.850847833
5,2,2,6.112733445
5,2,2,7.496149413
5,2,2,7.540090158
5,2,2,7.282378413
5,2,2,8.344008225
5,2,2,6.564948105
5,2,2,5.982051802
5,2,2,5.70007269
5,2,2,6.470703258
5,2,2,7.836257947
5,2,2,7.556674623
5,2,2,7.112995713
5,2,2,7.36904908
5,2,2,8.808045323
5,2,2,8.042465809
5,2,2,9.585288434
5,2,2,5.533843707
5,2,2,7.330098936
5,2,2,5.453396113
5,2,2,6.427956323
5,2,2,5.491676896
5,2,2,7.978780429
5,2,2,7.95561807
5,2,2,7.220826954
5,2,2,7.278848144
5,2,2,6.666695962
5,2,2,6.408981442
5,2,2,7.063752609
5,2,2,7.313760022
5,2,2,8.3861737
5,2,2,7.208624602
5,2,2,5.043473436
5,2,2,9.722679165
5,2,2,8.313484476
5,2,2,7.964405545
5,2,2,6.829003218
5,2,2,7.163700032
5,2,2,8.869242169
5,2,2,5.856899337
5,2,2,6.381708534
5,2,2,6.833524129
5,2,2,7.165893173
5,2,2,8.033393842
5,2,2,6.566061045
6,2,3,6.43345373
6,2,3,6.199952785
6,2,3,5.907257432
6,2,3,6.958759851
6,2,3,5.984851139
6,2,3,6.544517615
6,2,3,6.648519876
6,2,3,6.866573049
6,2,3,7.454468856
6,2,3,8.578950323
6,2,3,7.362589115
6,2,3,8.590009224
6,2,3,5.474915558
6,2,3,7.474537005
6,2,3,7.198297071
6,2,3,7.818708051
6,2,3,6.435489153
6,2,3,5.639578576
6,2,3,4.47929131
6,2,3,6.98670828
6,2,3,5.020177935
6,2,3,6.24257964
6,2,3,5.909737852
6,2,3,7.421249786
6,2,3,6.306454341
6,2,3,7.589190848
6,2,3,7.440850971
6,2,3,7.872823908
6,2,3,5.915704901
6,2,3,8.407388665
6,2,3,5.217467624
6,2,3,6.652129441
6,2,3,7.226872964
6,2,3,6.494091448
6,2,3,6.192079623
6,2,3,7.369239689
6,2,3,5.10464344
6,2,3,6.107612703
6,2,3,7.42873644
6,2,3,6.298121433
6,2,3,6.678509744
6,2,3,6.404645618
6,2,3,7.483979035
6,2,3,6.454416879
6,2,3,8.319223668
6,2,3,8.187532145
6,2,3,7.338708455
6,2,3,8.318680139
6,2,3,7.077792507
6,2,3,6.555010165
